Year,Month,Day,Time,Up,Down
2020,07,31,01:51:01, ,ID 0
2020,07,31,01:51:10, ,ID 1
2020,07,31,01:51:11, ,ID 3
2020,07,31,01:51:11, ,ID 2
2020,07,31,01:51:19,ID 4, 
2020,07,31,01:51:19,ID 5, 
2020,07,31,01:51:22, ,ID 6
2020,07,31,01:51:32,ID 7, 
2020,07,31,01:51:32, ,ID 8
2020,07,31,01:51:32, ,ID 9
2020,10,15,16:58:39, ,ID 0
2020,10,15,16:58:48, ,ID 1
2020,10,15,16:58:49, ,ID 3
2020,10,15,16:58:49, ,ID 2
2020,10,15,16:58:57,ID 4, 
2020,10,15,16:58:57,ID 5, 
2020,10,15,16:59:00, ,ID 6
2020,10,15,16:59:10,ID 7, 
2020,10,15,16:59:10, ,ID 8
2020,10,15,16:59:10, ,ID 9
2020,10,15,17:33:33, ,ID 0
2020,10,15,17:33:41, ,ID 1
2020,10,15,17:33:43, ,ID 3
2020,10,15,17:33:43, ,ID 2
2020,10,15,17:46:32, ,ID 0
2020,10,15,17:46:39, ,ID 1
2020,10,15,17:46:40, ,ID 3
2020,10,15,17:46:40, ,ID 2
2020,10,15,17:48:57, ,ID 0
2020,10,15,17:49:03, ,ID 1
2020,10,15,17:49:05, ,ID 3
2020,10,15,17:49:05, ,ID 2
2020,10,15,17:49:12,ID 4, 
2020,10,15,17:49:13,ID 5, 
2020,10,15,17:49:16, ,ID 6
2020,10,15,17:58:19, ,ID 0
2020,10,15,17:58:27, ,ID 1
2020,10,15,17:58:29, ,ID 3
2020,10,15,17:58:29, ,ID 2
2020,10,15,17:58:36,ID 4, 
2020,10,15,17:58:36,ID 5, 
2020,10,15,17:58:39, ,ID 6
2020,10,15,17:58:49,ID 7, 
2020,10,15,17:58:49, ,ID 8
2020,10,15,17:58:49, ,ID 9
2020,10,27,13:41:17, ,ID 0
2020,10,27,13:41:24, ,ID 1
2020,10,27,13:41:26, ,ID 3
2020,10,27,13:41:26, ,ID 2
2020,10,27,13:41:34,ID 4, 
2020,10,27,13:41:34,ID 5, 
2020,10,27,13:41:37, ,ID 6
2020,10,27,13:41:46,ID 7, 
2020,10,27,13:41:46, ,ID 8
2020,10,27,13:41:46, ,ID 9
